name,count
Capsule,2746
Tablet,11517
Suspension,1865
Injection,2162
Pediatric Drop,227
Syrup,1231
Gel,55
Suppository,87
Oral Gel,23
Lotion,43
E/E Drop,121
Eye Ointment,91
E/E Ointment,4
Eye Drop,681
Cream,501
Infusion,408
Powder,93
Ointment,290
Medicated Bar,2
Cleanser Saop,1
Oral Solution,134
Inhaler,108
Nasal Drop,49
Vaginal Tablet,15
Mouthwash,31
Nasal Spray,54
Caplet,2
NULL,61
Hand Rub,15
Oral Paste,6
Drop,46
Rectal Saline,2
Capsule (Pellet),24
Spray,14
Topical Solution,24
Solution,74
Ear Drop,22
Powder for Solution,5
Drops,37
Emulsion,30
Solution for Inhalation,23
Elixir,7
Rotacap,6
Topical Gel,18
Surgical Scrub,3
Scalp Lotion,6
Rectal Ointment,6
Inhalation Capsule,31
Bexicap,5
Inhalation Powder,3
Cozycap,18
None,2
Vaginal Cream,10
Vaginal Suppository,9
Scalp Solution,3
Gas,5
Vaginal Pessary,1
Shampoo,10
Scalp Applicator,2
Dialysis Solution,9
Patch,6
Eye Gel,14
Effervescent Granules,5
Vaginal Gel,2
Granules,8
Strip,7
Oral Powder,2
Oral Capsule & Vaginal Cream,1
Oral Soluble Film,2
Dental Gel,2
Nebuliser,3
Evohaler,3
Muscle Rub,1
